Date,Time,Open,High,Low,Close,Volume
20250826,110000,59,59,59,59,1
20250827,090000,250,250,250,250,1
20250827,100000,175,175,175,175,50
20250827,120000,150,150,125,125,251
20250830,090000,100,100,100,100,105
20250830,100000,100,100,100,100,100
20250830,120000,143,143,143,143,22
20250831,100000,282,282,282,282,22
20250831,110000,89,89,89,89,3
20250902,110000,200,232,151,200,92
20250903,100000,200,233,200,200,110
20250903,110000,201,250,201,250,20
20250903,120000,202,202,202,202,1
20250906,100000,131,131,131,131,85
20250906,110000,140,140,140,140,111
20250907,090000,293,393,211,211,88
20250907,110000,282,282,210,210,60
20250908,090000,433,433,433,433,66
20250908,100000,320,419,320,385,436
20250908,110000,390,407,361,362,1055
20250908,120000,370,387,350,370,2302
20250909,090000,396,396,260,311,889
20250909,100000,379,379,300,310,2119
20250909,110000,299,348,212,347,9497
20250909,120000,297,379,270,319,6482
20250913,090000,580,580,301,383,10
20250913,100000,383,568,262,345,5031
20250913,110000,345,453,312,390,4973
20250913,120000,365,365,355,360,11
20250914,090000,593,593,303,350,2669
20250914,100000,350,398,343,398,572
20250914,110000,380,399,367,398,750
20250914,120000,376,388,351,360,1733
20250915,090000,390,502,341,349,1767
20250915,100000,423,423,320,409,257
20250915,110000,329,355,300,300,750
20250915,120000,300,350,290,350,146
20250916,090000,360,380,360,369,343
20250916,100000,359,359,302,315,64
20250916,110000,324,352,300,330,293
20250916,120000,301,319,301,310,1617
20250917,090000,395,395,363,364,250
20250917,100000,348,348,235,309,2582
20250917,110000,299,299,235,252,190
20250917,120000,235,258,235,258,107
20250920,090000,101,174,91,104,7020
20250920,100000,105,124,91,96,6853
20250920,110000,104,130,100,130,3918
20250920,120000,125,129,115,115,222
20250921,090000,110,300,110,160,789
20250921,100000,147,147,121,140,1179
20250921,110000,143,150,117,129,1141
20250921,120000,120,140,114,140,1407
20250922,090000,470,479,113,191,4798
20250922,100000,190,190,161,179,2760
20250922,110000,175,176,130,130,882
20250922,120000,149,161,145,161,822
20250923,090000,139,158,137,157,2125
20250923,100000,160,174,155,159,2041
20250923,110000,164,164,121,140,8570
20250923,120000,124,180,121,180,7222
20250924,090000,72,130,72,96,2736
20250924,100000,113,117,94,116,3887
20250924,110000,119,139,80,115,27292
20250924,120000,110,143,90,128,7088
20250927,090000,113,300,113,181,1934
20250927,100000,190,215,190,200,7769
20250927,110000,210,220,196,208,4845
20250927,120000,208,217,202,217,2934
20250928,090000,300,500,300,400,7738
20250928,100000,399,460,396,443,21538
20250928,110000,439,500,429,500,18994
20250928,120000,500,516,442,460,17865
20250929,090000,480,490,389,478,29305
20250929,100000,478,500,397,397,6321
20250929,110000,397,433,380,400,2594
20250929,120000,400,410,361,368,4313
20250930,090000,359,448,358,370,3399
20250930,100000,388,388,330,351,10881
20250930,110000,369,369,321,358,6113
20250930,120000,357,360,338,344,2519
20251001,090000,370,390,251,382,2909
20251001,100000,399,411,367,396,5369
20251001,110000,385,410,373,374,5353
20251001,120000,375,423,368,397,7494
20251004,090000,587,899,587,869,17895
20251004,100000,869,869,766,785,14375
20251004,110000,785,830,768,815,18557
20251004,120000,815,834,800,818,12157
20251005,090000,822,822,657,690,12122
20251005,100000,680,739,670,701,4557
20251005,110000,760,817,721,787,14509
20251005,120000,778,778,694,700,9836
20251006,090000,650,800,650,707,582
20251006,100000,710,710,350,381,1814
20251006,110000,491,523,391,391,5154
20251006,120000,391,467,310,392,788
20251007,090000,460,460,460,460,50
20251007,100000,490,490,490,490,1
20251007,110000,510,790,501,660,201
20251008,090000,540,540,420,420,335
20251008,100000,451,460,451,460,150
20251008,110000,470,470,470,470,1
20251008,120000,463,645,463,645,71
20251011,090000,900,900,806,806,67
20251011,100000,890,890,700,773,1448
20251011,110000,773,834,700,700,2234
20251011,120000,700,799,601,700,2247
20251012,090000,777,1000,777,999,8533
20251012,100000,1000,1350,1000,1350,1897
20251012,110000,1399,1509,1350,1500,4710
20251012,120000,1600,1677,1550,1615,880
20251013,090000,1700,1700,1111,1411,3182
20251013,100000,1380,1990,1266,1750,10833
20251013,110000,1800,1930,1530,1540,5076
20251013,120000,1540,1600,1440,1440,9919
20251014,090000,1400,1989,1400,1730,6222
20251014,100000,1710,1720,1525,1620,4985
20251014,110000,1620,1620,1188,1188,4655
20251014,120000,1188,1200,1120,1155,7770
20251015,090000,1155,1450,1000,1210,1746
20251015,100000,1250,1287,1103,1110,3489
20251015,110000,1148,1330,1090,1330,7187
20251015,120000,1330,1562,1300,1502,7788
20251018,090000,1510,1841,1510,1660,4959
20251018,100000,1660,1715,1571,1591,10060
20251018,110000,1591,1785,1540,1755,9632
20251018,120000,1755,1780,1700,1700,5754
20251019,090000,1937,1937,1350,1616,7723
20251019,100000,1616,1790,1500,1601,20808
20251019,110000,1601,1750,1500,1610,15653
20251019,120000,1607,1607,1354,1361,8895
20251020,090000,1361,1526,1361,1495,22871
20251020,100000,1499,1600,1364,1400,13766
20251020,110000,1440,1449,1112,1198,14975
20251020,120000,1151,1269,1033,1200,22206
20251021,090000,1081,1479,1081,1240,25812
20251021,100000,1240,1350,1155,1249,16113
20251021,110000,1249,1440,1236,1313,36807
20251021,120000,1333,1399,1236,1346,28183
20251022,090000,1300,1450,1300,1351,1093
20251022,100000,1341,1447,1315,1352,3107
20251022,110000,1456,1550,1450,1550,1756
20251022,120000,1507,1550,1400,1461,1366
20251025,090000,1380,1380,1101,1142,1438
20251025,100000,1205,1499,1170,1499,626
20251025,110000,1300,1300,1162,1162,88
20251025,120000,1301,1480,1301,1480,200
20251026,090000,1477,1477,1220,1220,3273
20251026,100000,1221,1280,1142,1142,3342
20251026,110000,1142,1300,1142,1300,350
20251026,120000,1202,1202,1202,1202,50
20251027,090000,1150,1420,1150,1288,558
20251027,100000,1338,1560,1211,1451,6224
20251027,110000,1560,1576,1350,1435,2440
20251027,120000,1440,1464,1310,1464,744
20251028,090000,1656,1656,1300,1311,904
20251028,100000,1501,1649,1311,1646,294
20251028,110000,1600,1879,1400,1878,4667
20251028,120000,1877,1880,1300,1300,1230
20251029,090000,1300,1300,1101,1101,317
20251029,100000,1660,1660,1161,1250,166
20251029,110000,1250,1849,1201,1300,1318
20251029,120000,1330,1330,1312,1312,728
20251101,090000,1721,2398,1700,1869,102729
20251101,100000,1869,2230,1720,1730,177529
20251101,110000,1730,1748,1011,1130,183219
20251101,120000,1129,1190,1000,1165,119401
20251102,090000,1130,1610,1050,1500,305210
20251102,100000,1501,1610,1350,1595,203617
20251102,110000,1575,1620,1486,1580,240911
20251102,120000,1580,1600,1489,1510,67694
20251103,090000,1500,1578,1330,1499,5620
20251103,100000,1495,1523,1380,1523,6242
20251103,110000,1530,1530,1305,1305,7957
20251103,120000,1251,1252,900,900,5067
20251104,090000,900,1200,700,1043,831
20251104,100000,960,1195,850,1000,2363
20251104,110000,1160,1180,720,750,1965
20251104,120000,850,850,476,476,1214
20251105,090000,500,520,300,400,4383
20251105,100000,389,438,350,400,4912
20251105,110000,400,466,400,441,2555
20251105,120000,485,520,401,405,817
20251108,090000,480,500,400,400,1096
20251108,100000,400,400,250,300,3787
20251108,110000,300,300,210,210,2723
20251108,120000,210,210,160,170,1174
20251109,090000,175,176,74,86,8782
20251109,100000,88,95,31,75,10525
20251109,110000,70,90,60,90,2420
20251109,120000,90,91,76,90,2455
