Date,Time,Open,High,Low,Close,Volume
20250721,000000,2342,2342,2342,2342,10
20250809,000000,1200,1200,900,985,9
20250810,000000,600,600,490,500,2797
20250811,000000,570,570,390,400,1417
20250812,000000,438,438,400,437,492
20250813,000000,425,430,300,313,1876
20250816,000000,210,450,200,290,1000
20250817,000000,493,548,409,440,349
20250818,000000,700,700,400,420,58
20250819,000000,395,395,339,350,218
20250820,000000,463,463,350,361,265
20250823,000000,209,350,209,350,628
20250825,000000,280,280,200,220,2033
20250826,000000,230,262,202,202,213
20250827,000000,250,250,191,200,2943
20250830,000000,233,253,129,253,1626
20250831,000000,219,353,210,220,1370
20250902,000000,473,473,271,300,912
20250903,000000,300,330,249,300,1331
20250906,000000,269,269,265,265,51
20250907,000000,151,320,151,314,964
20250908,000000,259,532,259,350,4140
20250909,000000,289,580,289,480,17769
20250913,000000,400,591,399,502,4584
20250914,000000,693,792,529,709,9769
20250915,000000,665,775,309,634,6223
20250916,000000,642,642,470,500,6540
20250917,000000,629,629,428,445,6072
20250920,000000,300,300,73,198,18957
20250921,000000,171,270,155,234,38445
20250922,000000,318,318,242,258,31166
20250923,000000,279,279,210,217,19104
20250924,000000,161,246,161,233,19898
20250927,000000,296,438,283,402,54848
20250928,000000,699,1139,601,1050,107756
20250929,000000,1240,1310,730,760,76454
20250930,000000,699,1000,521,685,84744
20251001,000000,665,850,505,751,64151
20251004,000000,1030,1659,1030,1470,91742
20251005,000000,1721,1900,1282,1311,77450
20251006,000000,1347,1699,1020,1020,12661
20251007,000000,1149,1600,1149,1450,12232
20251008,000000,1401,1600,1200,1400,5578
20251011,000000,1580,1698,1300,1470,3556
20251012,000000,1678,2670,1500,2530,16128
20251013,000000,2300,2799,1950,2079,41393
20251014,000000,2030,2435,1501,1748,36450
20251015,000000,1694,2400,1415,2250,31898
20251018,000000,2254,2597,2200,2400,54296
20251019,000000,2482,2749,2020,2030,90586
20251020,000000,1860,2419,1830,2050,95769
20251021,000000,2002,2280,1830,2250,164361
20251022,000000,2300,2665,2000,2320,17718
20251025,000000,2150,2150,1705,1951,3262
20251026,000000,2002,2199,1909,2140,9490
20251027,000000,2200,2587,2100,2402,14965
20251028,000000,1556,2900,1556,2600,9859
20251029,000000,2661,2930,2305,2700,7477
20251101,000000,2800,3570,1820,2050,237967
20251102,000000,1930,2850,1910,2677,267673
20251103,000000,2630,2900,2330,2400,14137
20251104,000000,2200,2569,1502,1840,5323
20251105,000000,1550,1619,1102,1321,11879
20251108,000000,1990,1990,505,795,1140
20251109,000000,462,462,225,236,3582
